app,desc,org,star,url
Islam 360,  完整的伊斯蘭指導    ,Zahid Hussain Chihpa,4.9,https://play.google.com/store/apps/details?id=com.islam360
Quran in Urdu Translation MP3 with Audio Tafsir,  鋁古蘭經與烏爾都語翻譯，MP3朗誦和音頻翻譯及經注！    ,IslamicWorld,4.7,https://play.google.com/store/apps/details?id=com.islamicworld.urduquran
حديث كل ساعة: بدون أنترنت,  收集聖訓的伊斯蘭書籍，如布哈里聖訓和穆斯林聖訓採取    ,islamic apps,4.8,https://play.google.com/store/apps/details?id=com.boulla.ahadith
AlQuran (Complete 30 Juz),  MP3古蘭經音頻完整的30一卷。古蘭經朗誦著名Qori    ,Barokah Studio,4.7,https://play.google.com/store/apps/details?id=com.quran.alquranfull.quranmp3
Hausa Quran Audio,  豪薩語音頻古蘭經MP3    ,App para smartphone Android,4.7,https://play.google.com/store/apps/details?id=com.doceapps_alcorao_audio_hausa.doceapps_alcorao_audio_hausa
أذكار النوم والاستيقاظ - مسموعة,  追憶睡眠和覺醒的聲音和Mqrah並帶有自動警報（禱告睡眠）    ,Ayatapps,4.7,https://play.google.com/store/apps/details?id=com.ayatapps.sherifmahmoud.sleepwakup
AlQuran-Murottal 30 Juz,  閱讀古蘭經30一卷爆滿，14名阿訇    ,Queenza dev,4.6,https://play.google.com/store/apps/details?id=com.andromo.dev341420.app413745
Adkar Kitab Burda-Swalat-Dua,  Dikr，杜阿，Swalath    ,Global Vision Apps,4.6,https://play.google.com/store/apps/details?id=com.andromo.dev169314.app176344
Ruqyah Shariah Full MP3,  Ruqyah教法打擊晉，黑魔法（Sihr），與邪惡的Eye.Works離線。    ,KareemTKB,4.7,https://play.google.com/store/apps/details?id=com.andromo.dev391844.app403964
Muslimapp.id - Adzan Kiblat Quran Aqiqah Qurban,  MuslimApp /穆斯林應用中的所有穆斯林祈禱需要在一個應用程序    ,muslimapp.id,4.8,https://play.google.com/store/apps/details?id=com.dmg.muslimapp
Quran with Urdu Translation, سنئےاورپڑھیےقرآناردوترجمہکےساتھ聽與讀古蘭經與烏爾都語翻譯    ,Quran-Online,4.8,https://play.google.com/store/apps/details?id=com.quran.urdutarjuma
Islamic Duas for Success,  杜阿和祈禱從古蘭經聖訓穆斯林獲取困難了    ,IqraSense.com,4.7,https://play.google.com/store/apps/details?id=sigmatech.ik.duas
Learn Namaz in Urdu + Audio,  了解Namaz步步為男性和女性聲音朗誦一步。    ,Islamic Basic Education,4.9,https://play.google.com/store/apps/details?id=com.ibe.learn.namaz.urdu.step.by.step
Sheikh Sudais Quran Full MP3,  謝赫sudais古蘭經完整mp3讓你聽謝赫·sudais。在線工作    ,KareemTKB,4.7,https://play.google.com/store/apps/details?id=com.andromo.dev391844.app362032
رنات إسلامية و اناشيد 2018,  伊斯蘭鈴聲和歌曲2018美妙的聲音，在穆斯林世界自由的最佳歌手    ,Tronico Apps,4.7,https://play.google.com/store/apps/details?id=islamicringtones2017.nasheed.islamicsongs.ranatdinia.naghamatislamia
伊斯兰壁纸,  免费美丽最好的伊斯兰壁纸！    ,Okapps,4.7,https://play.google.com/store/apps/details?id=com.okappz.islamicwallpapers
Ramadan 2018,  2018年齋月卡里姆齋月的下一個神聖的一個月倒計時！    ,AYRN,4.7,https://play.google.com/store/apps/details?id=ayrn.ramadan2018
Digital Tasbeeh Counter,  數量，節省您的dhikr的數字智能Tasbeeh計數器。    ,Sewapp,4.7,https://play.google.com/store/apps/details?id=com.sevapp.smart_tasbeeh
Islamic Calendar Converter,  從公曆一個Android轉換工具追溯至回歷日期。    ,AndroidRich,4.3,https://play.google.com/store/apps/details?id=gnu.islamiccalendar.android
朝拜定位和祈祷时间,  获取朝拜方向瞬间和祈祷的时间提醒免费。    ,CapsaApps,4.3,https://play.google.com/store/apps/details?id=com.capsa.prayer.time
Halal Check E-Codes,  食品添加劑（E-號）和他們的清真狀態的最完整的數據庫。    ,Ali Reza Farahnak,4.4,https://play.google.com/store/apps/details?id=com.islam.halalcheck
المصحف,  畝程序容易和簡單，並且免費閱讀全能的上帝的話    ,A.Abdo,4.7,https://play.google.com/store/apps/details?id=com.abdo.quran
Al Quran and Translation,  為Android用戶提供脫機內容和翻譯古蘭經應用    ,the WALi studio,4.7,https://play.google.com/store/apps/details?id=wali.quran.latin.transliteration
belajar mengaji cepat,  學習古蘭經hijaiyah，harokat，瘋狂，朗誦，背誦簡短的信（Juzamma）    ,Edutalk Indo Studio,4.5,https://play.google.com/store/apps/details?id=com.duasaudaradepok.BelajarMengajiAlQuran
Everyday Dua & Azkar mp3,  免費杜阿（懇求和紀念品）。杜阿＆Azkar各種場合。    ,KareemTKB,4.7,https://play.google.com/store/apps/details?id=com.andromo.dev531271.app508164
Sıkıntı için Dualar,  有接近約無聊禱告200個應用程序。    ,HokkabazSoft,4.8,https://play.google.com/store/apps/details?id=com.kksal55.sikinti_dualari
"Morning & Evening Prayer, Verses, Promises& Quotes",  祈禱一個頂級的額定基督教禱告App.Daily更新早晚    ,Christian Channel,4.7,https://play.google.com/store/apps/details?id=com.christian.prayeropera
Somali Quran Audio,  古蘭經Soomaali  - 索馬里古蘭經音頻聲音的語音MP3  - 音頻qodobbadani語音    ,App para smartphone Android,4.7,https://play.google.com/store/apps/details?id=com.doceapps_alcorao_audio_somali.doceapps_alcorao_audio_somali
Top islamic ringtones and anasheed muslim 2018,  伊斯蘭anasheed，色調2018高所選歌曲伊斯蘭應用到穆斯林    ,Islamic_Apps2,4.7,https://play.google.com/store/apps/details?id=com.islamic_ringtones_2018.islamic_nasheed
i穆斯林 - 古蘭經和祈禱時間,  iMuslim，最好的免費應用程序穆斯林日常使用。    ,CY Security,4.7,https://play.google.com/store/apps/details?id=com.cyou.muslim
Praying Wives,  這是祈禱妻子的官方應用程序！    ,Apollo Apps LLC,4.3,https://play.google.com/store/apps/details?id=com.apolloengine.sharonjaynes
Muslim Baby Names/Islamic Names For Girls/Boy Urdu,  根據穆斯林聖訓穆斯林必須選擇具有良好意義的名字。    ,iTouch,4.3,https://play.google.com/store/apps/details?id=com.iTouch.Islamic.Names.Quran.Meanings
Adan tunisie,  阿丹突尼斯顯示祈禱時間表，Awkat薩拉特，喚禮，古蘭經，朝拜，...    ,Mazoul dev,4.7,https://play.google.com/store/apps/details?id=ma.mazdev.adan.tunisia
Namazdayım Modülü,  ATHAN時間普羅迪我Namazd是一個模塊化的應用程序。    ,Maviay®,4.5,https://play.google.com/store/apps/details?id=com.mobilexsoft.namazdayim
namaz ka tarika,  用烏爾都語翻譯，namaz，ghusal KA的Trika，六卡爾馬，masnoon duaein namaz，    ,urdumaster,4.8,https://play.google.com/store/apps/details?id=com.urdumaster.namaz.gusal.and.masnoon.duain
回歷日曆空間,  日期視圖回歷，以保持與伊斯蘭教歷觸摸    ,Digital Valley,4.2,https://play.google.com/store/apps/details?id=com.sharpsol.digitalvalley.hijriCalendar
Muslim All in One : Pray Times,  鋁陰不是穆斯林APS：禱告耀，Yauran，杜阿，聖訓阿爾巴特，威脅Masyid    ,the WALi studio,4.6,https://play.google.com/store/apps/details?id=com.tws.apps.jadwalshalat
The Holy Quran - English,  古蘭經中英文，一個完整的搜索翻譯與音頻朗誦    ,Peace Through Understanding,4.4,https://play.google.com/store/apps/details?id=com.verypositive.Quran
